timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
12/9/2022,68.4388145,68.9120061,68.2091774,68.4457732,9.835,9.903,9.802,9.836,224655.83,224655.83
12/8/2022,66.9287766,68.6058233,65.8849716,68.4248971,9.618,9.859,9.468,9.833,1259720.93,1259720.93
12/7/2022,70.7421442,70.8952356,66.0519804,66.9218179,10.166,10.188,9.492,9.617,2666263.16,2666263.16
12/6/2022,71.4380142,72.2382647,69.5452478,70.7421442,10.266,10.381,9.994,10.166,1875786.89,1875786.89
12/5/2022,71.3684272,73.5812938,70.5960115,71.4240968,10.256,10.574,10.145,10.264,2046082.72,2046082.72
12/4/2022,69.7400914,71.5841469,69.7122566,71.3614685,10.022,10.287,10.018,10.255,891823.05,891823.05
12/3/2022,72.1408429,72.4679018,69.4339086,69.7331327,10.367,10.414,9.978,10.021,1003730.91,1003730.91
12/2/2022,71.4588903,72.37048,70.4081266,72.1338842,10.269,10.4,10.118,10.366,1363031.57,1363031.57
12/1/2022,73.0245978,73.623046,70.4985897,71.4519316,10.494,10.58,10.131,10.268,1555215.31,1555215.31
11/30/2022,70.8674008,74.040568,70.8604421,73.0245978,10.184,10.64,10.183,10.494,1848980.88,1848980.88
11/29/2022,68.6197407,71.67461,68.4248971,70.8465247,9.861,10.3,9.833,10.181,1705131.62,1705131.62
11/28/2022,69.0790149,69.3851977,65.690128,68.6266994,9.927,9.971,9.44,9.862,1672950.06,1672950.06
11/27/2022,70.3454983,71.9181645,68.8563365,69.0650975,10.109,10.335,9.895,9.925,934305.85,934305.85
11/26/2022,69.7679262,72.7114563,69.5730826,70.3594157,10.026,10.449,9.998,10.111,1467833.33,1467833.33
11/25/2022,70.6516811,70.8465247,67.9308294,69.7609675,10.153,10.181,9.762,10.025,1100769.64,1100769.64
11/24/2022,69.1207671,71.1735836,68.0769621,70.6516811,9.933,10.228,9.783,10.153,1703495.3,1703495.3
11/23/2022,66.4416676,69.4408673,66.3512045,69.1207671,9.548,9.979,9.535,9.933,2090457.37,2090457.37
11/22/2022,62.7118044,66.5599655,60.7355336,66.4347089,9.012,9.565,8.728,9.547,2779501.34,2779501.34
11/21/2022,65.0847211,65.133432,61.0765099,62.7048457,9.353,9.36,8.777,9.011,2299786.83,2299786.83
11/20/2022,69.5591652,69.9140589,64.7576622,65.0916798,9.996,10.047,9.306,9.354,1304000.89,1304000.89
11/19/2022,69.3921564,69.9906046,67.7568619,69.5522065,9.972,10.058,9.737,9.995,1002202.2,1002202.2
