timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
12/9/2022,778.47711,781.25987,774.99866,779.1728,111.9,112.3,111.4,112,8893.426,8893.426
12/8/2022,758.99779,781.25987,754.12796,778.47711,109.1,112.3,108.4,111.9,41721.426,41721.426
12/7/2022,780.56418,785.43401,747.86675,758.99779,112.2,112.9,107.5,109.1,51425.92,51425.92
12/6/2022,768.04176,781.25987,766.65038,779.86849,110.4,112.3,110.2,112.1,42918.222,42918.222
12/5/2022,772.91159,813.9573,763.17193,768.04176,111.1,117,109.7,110.4,96125.461,96125.461
12/4/2022,763.17193,779.1728,761.78055,772.2159,109.7,112,109.5,111,34713.425,34713.425
12/3/2022,779.1728,784.04263,761.78055,763.17193,112,112.7,109.5,109.7,32270.27,32270.27
12/2/2022,767.34607,786.1297,752.73658,779.1728,110.3,113,108.2,112,43985.795,43985.795
12/1/2022,789.60815,792.39091,762.47624,767.34607,113.5,113.9,109.6,110.3,57412.056,57412.056
11/30/2022,771.52021,797.95643,768.04176,789.60815,110.9,114.7,110.4,113.5,59280.216,59280.216
11/29/2022,765.259,787.52108,758.99779,772.2159,110,113.2,109.1,111,41863.511,41863.511
11/28/2022,772.91159,779.1728,737.4314,765.259,111.1,112,106,110,57502.515,57502.515
11/27/2022,781.95556,791.69522,770.12883,773.60728,112.4,113.8,110.7,111.2,33855.792,33855.792
11/26/2022,792.39091,804.91333,774.99866,782.65125,113.9,115.7,111.4,112.5,43902.312,43902.312
11/25/2022,806.30471,809.78316,787.52108,791.69522,115.9,116.4,113.2,113.8,51750.061,51750.061
11/24/2022,800.0435,826.47972,786.82539,806.30471,115,118.8,113.1,115.9,105513.389,105513.389
11/23/2022,761.08486,834.13231,754.12796,800.0435,109.4,119.9,108.4,115,183818.474,183818.474
11/22/2022,718.64777,761.78055,716.5607,761.08486,103.3,109.5,103,109.4,112361.605,112361.605
11/21/2022,729.77881,748.56244,699.16845,719.34346,104.9,107.6,100.5,103.4,106990.67,106990.67
11/20/2022,729.77881,748.56244,717.25639,729.08312,104.9,107.6,103.1,104.8,81819.408,81819.408
11/19/2022,728.38743,739.51847,722.82191,729.77881,104.7,106.3,103.9,104.9,32077.808,32077.808
11/18/2022,722.12622,736.04002,720.73484,729.08312,103.8,105.8,103.6,104.8,46239.222,46239.222
11/17/2022,726.30036,732.56157,704.03828,722.82191,104.4,105.3,101.2,103.9,50063.299,50063.299
11/16/2022,722.82191,764.56331,713.08225,726.30036,103.9,109.9,102.5,104.4,95714.732,95714.732
11/15/2022,723.5176,740.21416,711.69087,722.82191,104,106.4,102.3,103.9,87863.515,87863.515
11/14/2022,692.90724,729.08312,669.25378,722.82191,99.6,104.8,96.2,103.9,167714.737,167714.737
11/13/2022,714.47363,720.73484,681.7762,692.90724,102.7,103.6,98,99.6,99441.562,99441.562
11/12/2022,716.5607,718.64777,679.68913,714.47363,103,103.3,97.7,102.7,62502.199,62502.199
11/11/2022,713.77794,744.3883,686.64603,717.25639,102.6,107,98.7,103.1,118519.937,118519.937
11/10/2022,620.55548,741.60554,605.94599,714.47363,89.2,106.6,87.1,102.7,180212.823,180212.823
11/9/2022,717.25639,723.5176,605.2503,619.1641,103.1,104,87,89,218973.2122,218973.2122
11/8/2022,819.52282,827.17541,660.9055,717.95208,117.8,118.9,95,103.2,254612.5,254612.5
11/7/2022,811.87023,830.65386,802.13057,820.21851,116.7,119.4,115.3,117.9,80552.122,80552.122
11/6/2022,861.26422,864.74267,809.08747,811.87023,123.8,124.3,116.3,116.7,64341.011,64341.011
11/5/2022,865.43836,876.5694,849.43749,860.56853,124.4,126,122.1,123.7,79105.35,79105.35
11/4/2022,804.21764,868.91681,800.0435,866.13405,115.6,124.9,115,124.5,117930.061,117930.061
11/3/2022,790.30384,836.21938,787.52108,804.21764,113.6,120.2,113.2,115.6,76224.735,76224.735
11/2/2022,800.0435,849.43749,778.47711,790.99953,115,122.1,111.9,113.7,156409.707,156409.707
11/1/2022,800.0435,811.17454,791.69522,800.0435,115,116.6,113.8,115,48125.99,48125.99
