timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
12/8/2022,117359.7991,117731.8147,117048.9148,117128.5876,16836.64,16890.01,16792.04,16803.47,16587.08475,16587.08475
12/7/2022,119118.5957,119489.7748,116259.7845,117359.7991,17088.96,17142.21,16678.83,16836.64,220657.4133,220657.4133
12/6/2022,118263.9427,119244.4132,117845.8521,119118.5957,16966.35,17107.01,16906.37,17088.96,218730.7688,218730.7688
12/5/2022,119241.9038,121455.7346,117571.4235,118263.9427,17106.65,17424.25,16867,16966.35,233703.2923,233703.2923
12/4/2022,117698.2866,119912.3962,117649.8416,119235.2819,16885.2,17202.84,16878.25,17105.7,178619.1339,178619.1339
12/3/2022,119140.6922,119815.7851,117513.8472,117698.2866,17092.13,17188.98,16858.74,16885.2,154542.5731,154542.5731
12/2/2022,118345.149,119235.491,117019.7084,119144.9442,16978,17105.73,16787.85,17092.74,202372.2062,202372.2062
12/1/2022,119652.3269,120756.942,117487.8472,118340.7576,17165.53,17324,16855.01,16977.37,232818.1822,232818.1822
11/30/2022,114615.3042,120234.1545,114513.4652,119639.1526,16442.91,17249,16428.3,17163.64,303019.8072,303019.8072
11/29/2022,113007.0007,115352.7831,112225.05,114612.6554,16212.18,16548.71,16100,16442.53,248106.2501,248106.2501
11/28/2022,114516.7413,114922.9123,111495.0295,113012.0892,16428.77,16487.04,15995.27,16212.91,252695.4037,252695.4037
11/27/2022,114717.7705,115710.3,114323.1705,114516.811,16457.61,16600,16401,16428.78,162025.4761,162025.4761
11/26/2022,115162.0702,116421.2213,114211.6425,114724.4622,16521.35,16701.99,16385,16458.57,181804.8167,181804.8167
11/25/2022,115707.1633,116170.353,113917.5571,115167.5769,16599.55,16666,16342.81,16522.14,182089.4953,182089.4953
11/24/2022,115731.9783,117192.4374,114720.8375,115702.981,16603.11,16812.63,16458.05,16598.95,206565.9235,206565.9235
11/23/2022,113116.9952,116449.173,112644.6741,115731.9783,16227.96,16706,16160.2,16603.11,264927.7041,264927.7041
11/22/2022,110003.4819,113723.7075,108855.7194,113109.8853,15781.29,16315,15616.63,16226.94,239548.0662,239548.0662
11/21/2022,113476.2548,113751.5895,107875.458,110003.4819,16279.5,16319,15476,15781.29,324096.9978,324096.9978
11/20/2022,116412.0899,116779.0868,112782.69,113481.3432,16700.68,16753.33,16180,16280.23,154842.1348,154842.1348
11/19/2022,116403.3768,117260.6089,115386.3809,116412.0899,16699.43,16822.41,16553.53,16700.68,104963.1556,104963.1556
11/18/2022,116355.4895,118575.1755,115334.1718,116410.4867,16692.56,17011,16546.04,16700.45,214224.1818,214224.1818
11/17/2022,116139.7525,116762.8455,114391.0632,116355.4895,16661.61,16751,16410.74,16692.56,228038.9787,228038.9787
11/16/2022,117805.4232,118609.4704,114167.101,116147.7686,16900.57,17015.92,16378.61,16662.76,261493.4081,261493.4081
11/15/2022,115833.8173,119437.3566,115206.4723,117805.4232,16617.72,17134.69,16527.72,16900.57,282461.8439,282461.8439
11/14/2022,113840.6725,119822.895,110239.9213,115845.9459,16331.78,17190,15815.21,16619.46,380210.7775,380210.7775
11/13/2022,117196.1318,118179.8087,113124.2445,113827.2194,16813.16,16954.28,16229,16329.85,184960.7885,184960.7885
11/12/2022,118986.2956,119328.6866,115929.104,117188.6036,17069.98,17119.1,16631.39,16812.08,167819.9604,167819.9604
