timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
12/9/2022,0.68527242,0.69209244,0.68054017,0.68276711,0.09847,0.09945,0.09779,0.09811,144628444,144628444
12/8/2022,0.6663434,0.69021346,0.65827073,0.68527242,0.09575,0.09918,0.09459,0.09847,1031574520,1031574520
12/7/2022,0.69731184,0.70427104,0.64504825,0.6663434,0.1002,0.1012,0.09269,0.09575,1404880230,1404880230
12/6/2022,0.70628921,0.71512739,0.68214078,0.69724225,0.10149,0.10276,0.09802,0.10019,1145270821,1145270821
12/5/2022,0.72410476,0.77887366,0.69049182,0.70628921,0.10405,0.11192,0.09922,0.10149,2106903673,2106903673
12/4/2022,0.69383224,0.7359354,0.69271877,0.72417435,0.0997,0.10575,0.09954,0.10406,1609965913,1609965913
12/3/2022,0.71053432,0.71811985,0.68255834,0.69383224,0.1021,0.10319,0.09808,0.0997,1356635083,1356635083
12/2/2022,0.7080986,0.72097312,0.67260668,0.71053432,0.10175,0.1036,0.09665,0.1021,1560905751,1560905751
12/1/2022,0.74296419,0.74999298,0.6976598,0.7080986,0.10676,0.10777,0.10025,0.10175,1927610473,1927610473
11/30/2022,0.70608043,0.765512,0.6915357,0.74303378,0.10146,0.11,0.09937,0.10677,2791151929,2791151929
11/29/2022,0.6619591,0.73238621,0.65138112,0.70608043,0.09512,0.10524,0.0936,0.10146,2909789625,2909789625
11/28/2022,0.68687304,0.6941802,0.63022515,0.6620287,0.0987,0.09975,0.09056,0.09513,3340654160,3340654160
11/27/2022,0.61881206,0.7515936,0.61797696,0.68673386,0.08892,0.108,0.0888,0.09868,4273685671,4273685671
11/26/2022,0.6228484,0.66516034,0.6062855,0.61888166,0.0895,0.09558,0.08712,0.08893,1914481802,1914481802
11/25/2022,0.56689643,0.63962007,0.56042438,0.6228484,0.08146,0.09191,0.08053,0.0895,2497331251,2497331251
11/24/2022,0.57044562,0.58693893,0.5576407,0.56689643,0.08197,0.08434,0.08013,0.08146,739233520,739233520
11/23/2022,0.54817618,0.58137157,0.54135617,0.57044562,0.07877,0.08354,0.07779,0.08197,1258795497,1258795497
11/22/2022,0.51957387,0.55464824,0.50850874,0.54810659,0.07466,0.0797,0.07307,0.07876,1448103545,1448103545
11/21/2022,0.53620636,0.5385029,0.49626055,0.51957387,0.07705,0.07738,0.07131,0.07466,1869844515,1869844515
11/20/2022,0.58840036,0.59737773,0.53119574,0.53606718,0.08455,0.08584,0.07633,0.07703,1168377788,1168377788
11/19/2022,0.58972261,0.591532,0.57782238,0.58840036,0.08474,0.085,0.08303,0.08455,489697622,489697622
11/18/2022,0.58923546,0.60398897,0.5819979,0.58972261,0.08467,0.08679,0.08363,0.08474,818587592,818587592
11/17/2022,0.59494201,0.60746857,0.57295094,0.58923546,0.08549,0.08729,0.08233,0.08467,1133495442,1133495442
11/16/2022,0.60579836,0.63474863,0.5802581,0.59487242,0.08705,0.09121,0.08338,0.08548,1621532204,1621532204
11/15/2022,0.59807365,0.6228484,0.58944424,0.60586795,0.08594,0.0895,0.0847,0.08706,1318756115,1318756115
11/14/2022,0.59125363,0.6367668,0.55095986,0.59814324,0.08496,0.0915,0.07917,0.08595,2525683803,2525683803
11/13/2022,0.61338389,0.63725394,0.57545625,0.59118404,0.08814,0.09157,0.08269,0.08495,2193482956,2193482956
11/12/2022,0.59229751,0.66251584,0.54594924,0.61345348,0.08511,0.0952,0.07845,0.08815,3871215593,3871215593
11/11/2022,0.62465779,0.65103316,0.55680559,0.59215833,0.08976,0.09355,0.08001,0.08509,2597129664,2597129664
11/10/2022,0.51859958,0.65840991,0.50843915,0.62479698,0.07452,0.09461,0.07306,0.08978,4922943119,4922943119
11/9/2022,0.61428858,0.64156865,0.49083238,0.5184604,0.08827,0.09219,0.07053,0.0745,5778334733,5778334733
11/8/2022,0.77414141,0.7863896,0.54072984,0.61428858,0.11124,0.113,0.0777,0.08827,6869827495,6869827495
11/7/2022,0.79870738,0.82870154,0.74581746,0.77407182,0.11477,0.11908,0.10717,0.11123,1960584662,1960584662
11/6/2022,0.86600285,0.88868984,0.77824734,0.79870738,0.12444,0.1277,0.11183,0.11477,1828089235,1828089235
11/5/2022,0.8776943,0.9464512,0.8360087,0.86607244,0.12612,0.136,0.12013,0.12445,2575911841,2575911841
11/4/2022,0.8533371,0.89878068,0.80392678,0.8777639,0.12262,0.12915,0.11552,0.12613,4491405373,4491405373
11/3/2022,0.88841147,0.95334081,0.835104,0.8533371,0.12766,0.13699,0.12,0.12262,3814668576,3814668576
11/2/2022,0.98897191,1.0299616,0.8490224,0.88834188,0.14211,0.148,0.122,0.12765,6438544218,6438544218
11/1/2022,0.88277452,1.10602566,0.86628122,0.98897191,0.12685,0.15893,0.12448,0.14211,9951558350,9951558350
10/31/2022,0.81937621,0.91722256,0.79146982,0.88284411,0.11774,0.1318,0.11373,0.12686,7416828751,7416828751
10/30/2022,0.84735219,0.9986452,0.77400222,0.81930662,0.12176,0.1435,0.11122,0.11773,9155956957,9155956957
10/29/2022,0.5836681,1.0543188,0.57656972,0.84735219,0.08387,0.1515,0.08285,0.12176,15308814618,15308814618
10/28/2022,0.53488411,0.61581961,0.504542,0.5836681,0.07686,0.08849,0.0725,0.08387,6297011393,6297011393
10/27/2022,0.50558588,0.59515078,0.49911382,0.53509289,0.07265,0.08552,0.07172,0.07689,5263995288,5263995288
10/26/2022,0.43870797,0.51226671,0.43564592,0.50558588,0.06304,0.07361,0.0626,0.07265,2893785380,2893785380
10/25/2022,0.41365485,0.44733738,0.4114975,0.43877756,0.05944,0.06428,0.05913,0.06305,1024580884,1024580884
10/24/2022,0.4201965,0.42395446,0.40822667,0.41372444,0.06038,0.06092,0.05866,0.05945,344276898,344276898
10/23/2022,0.41539465,0.4210316,0.40815708,0.4201965,0.05969,0.0605,0.05865,0.06038,249563654,249563654
10/22/2022,0.41288934,0.41685608,0.41128872,0.41532506,0.05933,0.0599,0.0591,0.05968,198858373,198858373
10/21/2022,0.41351566,0.41414199,0.39730073,0.41288934,0.05942,0.05951,0.05709,0.05933,287377970,287377970
10/20/2022,0.40836586,0.4201269,0.40523422,0.41351566,0.05868,0.06037,0.05823,0.05942,340532633,340532633
10/19/2022,0.4158122,0.42311936,0.40509503,0.40836586,0.05975,0.0608,0.05821,0.05868,458718503,458718503
10/18/2022,0.41734322,0.42562467,0.40739157,0.41588179,0.05997,0.06116,0.05854,0.05976,351446283,351446283
10/17/2022,0.40989688,0.41873506,0.40739157,0.41741282,0.0589,0.06017,0.05854,0.05998,194737870,194737870
10/16/2022,0.40760034,0.41379403,0.40690442,0.40996647,0.05857,0.05946,0.05847,0.05891,160481253,160481253
10/15/2022,0.40815708,0.41602098,0.40342482,0.40760034,0.05865,0.05978,0.05797,0.05857,249335168,249335168
