timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
12/9/2022,37.718864,37.858048,37.510088,37.57968,5.42,5.44,5.39,5.4,390038.44,390038.44
12/8/2022,36.814168,38.066824,36.5358,37.718864,5.29,5.47,5.25,5.42,4019638.16,4019638.16
12/7/2022,38.206008,38.484376,36.466208,36.814168,5.49,5.53,5.24,5.29,5307370.08,5307370.08
12/6/2022,38.136416,38.414784,37.718864,38.2756,5.48,5.52,5.42,5.5,2713444.43,2713444.43
12/5/2022,38.97152,39.876216,37.858048,38.136416,5.6,5.73,5.44,5.48,3645172.05,3645172.05
12/4/2022,38.2756,39.041112,38.206008,38.901928,5.5,5.61,5.49,5.59,2771876.82,2771876.82
12/3/2022,39.110704,39.737032,38.136416,38.206008,5.62,5.71,5.48,5.49,4453433.15,4453433.15
12/2/2022,37.57968,39.597848,37.370904,39.110704,5.4,5.69,5.37,5.62,6607178.18,6607178.18
12/1/2022,37.997232,38.136416,37.022944,37.649272,5.46,5.48,5.32,5.41,4001779.36,4001779.36
11/30/2022,36.88376,38.345192,36.88376,37.997232,5.3,5.51,5.3,5.46,4722700.97,4722700.97
11/29/2022,35.700696,37.23172,35.422328,36.88376,5.13,5.35,5.09,5.3,3879496.66,3879496.66
11/28/2022,36.953352,37.022944,35.213552,35.700696,5.31,5.32,5.06,5.13,5094640.21,5094640.21
11/27/2022,36.88376,37.858048,36.605392,36.88376,5.3,5.44,5.26,5.3,2262349.07,2262349.07
11/26/2022,36.674984,37.997232,36.466208,36.88376,5.27,5.46,5.24,5.3,2879533.81,2879533.81
11/25/2022,37.440496,37.510088,36.5358,36.605392,5.38,5.39,5.25,5.26,2770201.53,2770201.53
11/24/2022,37.788456,38.484376,37.092536,37.510088,5.43,5.53,5.33,5.39,3739397.2,3739397.2
11/23/2022,36.744576,38.206008,36.5358,37.858048,5.28,5.49,5.25,5.44,4175250,4175250
11/22/2022,36.118248,37.022944,34.796,36.744576,5.19,5.32,5,5.28,5740050.28,5740050.28
11/21/2022,36.88376,36.88376,35.283144,36.048656,5.3,5.3,5.07,5.18,6524218.75,6524218.75
11/20/2022,39.041112,39.389072,36.5358,36.88376,5.61,5.66,5.25,5.3,3870989.34,3870989.34
11/19/2022,39.31948,39.389072,38.484376,39.041112,5.65,5.66,5.53,5.61,1602398.67,1602398.67
11/18/2022,39.528256,40.224176,38.97152,39.31948,5.68,5.78,5.6,5.65,2187119.21,2187119.21
11/17/2022,39.66744,39.876216,38.693152,39.458664,5.7,5.73,5.56,5.67,2822106.06,2822106.06
11/16/2022,41.198464,41.7552,39.041112,39.737032,5.92,6,5.61,5.71,3209428.37,3209428.37
11/15/2022,40.850504,42.10316,40.36336,41.198464,5.87,6.05,5.8,5.92,3301786.7,3301786.7
11/14/2022,40.0154,41.05928,37.858048,40.780912,5.75,5.9,5.44,5.86,5738361.29,5738361.29
11/13/2022,40.224176,41.546424,39.110704,40.0154,5.78,5.97,5.62,5.75,5069240.31,5069240.31
11/12/2022,40.0154,40.920096,38.693152,40.154584,5.75,5.88,5.56,5.77,3603570.5,3603570.5
11/11/2022,41.546424,42.10316,38.2756,40.0154,5.97,6.05,5.5,5.75,8907098.41,8907098.41
11/10/2022,37.718864,43.007856,37.022944,41.546424,5.42,6.18,5.32,5.97,12598434.37,12598434.37
11/9/2022,43.84296,44.399696,37.162128,37.649272,6.3,6.38,5.34,5.41,15523101.01,15523101.01
11/8/2022,49.549504,50.10624,40.780912,43.84296,7.12,7.2,5.86,6.3,17011590.68,17011590.68
11/7/2022,47.392152,51.637264,46.27868,49.549504,6.81,7.42,6.65,7.12,9474204.99,9474204.99
11/6/2022,48.923176,49.75828,47.252968,47.392152,7.03,7.15,6.79,6.81,5716020.12,5716020.12
11/5/2022,49.131952,50.4542,48.296848,48.923176,7.06,7.25,6.94,7.03,7379052.14,7379052.14
11/4/2022,44.678064,49.41032,44.399696,49.06236,6.42,7.1,6.38,7.05,9531817.15,9531817.15
11/3/2022,43.564592,45.443576,43.355816,44.608472,6.26,6.53,6.23,6.41,5454796.72,5454796.72
11/2/2022,44.88684,45.443576,42.868672,43.495,6.45,6.53,6.16,6.25,6160529.66,6160529.66
11/1/2022,46.069904,46.765824,44.88684,44.956432,6.62,6.72,6.45,6.46,3710854.82,3710854.82
10/31/2022,46.27868,47.600928,45.721944,46.069904,6.65,6.84,6.57,6.62,7120046.35,7120046.35
10/30/2022,46.139496,46.9746,45.304392,46.348272,6.63,6.75,6.51,6.66,4310912.76,4310912.76
10/29/2022,45.304392,47.183376,45.165208,46.139496,6.51,6.78,6.49,6.63,6052975.69,6052975.69
10/28/2022,44.051736,45.861128,43.564592,45.373984,6.33,6.59,6.26,6.52,4911921.1,4911921.1
10/27/2022,45.026024,46.27868,43.703776,44.121328,6.47,6.65,6.28,6.34,6785956.61,6785956.61
10/26/2022,44.817248,46.000312,44.608472,45.026024,6.44,6.61,6.41,6.47,6443103.67,6443103.67
10/25/2022,41.128872,46.139496,40.989688,44.747656,5.91,6.63,5.89,6.43,9006229.17,9006229.17
10/24/2022,41.476832,41.685608,40.36336,41.198464,5.96,5.99,5.8,5.92,3823238.57,3823238.57
10/23/2022,40.71132,41.616016,40.0154,41.546424,5.85,5.98,5.75,5.97,2942177.38,2942177.38
10/22/2022,40.572136,40.850504,40.154584,40.71132,5.83,5.87,5.77,5.85,2971915.78,2971915.78
10/21/2022,40.920096,41.05928,39.876216,40.641728,5.88,5.9,5.73,5.84,6612206.88,6612206.88
10/20/2022,42.520712,42.868672,40.502544,40.989688,6.11,6.16,5.82,5.89,5073844.54,5073844.54
10/19/2022,42.868672,43.564592,42.172752,42.45112,6.16,6.26,6.06,6.1,4401418.42,4401418.42
10/18/2022,43.564592,43.84296,42.242344,42.868672,6.26,6.3,6.07,6.16,3868946.94,3868946.94
10/17/2022,43.077448,43.773368,42.590304,43.564592,6.19,6.29,6.12,6.26,3223265.91,3223265.91
10/16/2022,42.10316,43.495,42.033568,43.007856,6.05,6.25,6.04,6.18,2485868.92,2485868.92
10/15/2022,42.10316,42.45112,41.894384,42.10316,6.05,6.1,6.02,6.05,1706785.75,1706785.75
10/14/2022,42.520712,43.634184,41.824792,42.10316,6.11,6.27,6.01,6.05,3863936.64,3863936.64
10/13/2022,43.007856,43.007856,39.528256,42.520712,6.18,6.18,5.68,6.11,7380068.704,7380068.704
10/12/2022,43.007856,43.495,42.659896,43.007856,6.18,6.25,6.13,6.18,2393433.73,2393433.73
10/11/2022,43.495,43.564592,42.659896,42.938264,6.25,6.26,6.13,6.17,3272884.8,3272884.8
10/10/2022,45.095616,45.513168,43.425408,43.495,6.48,6.54,6.24,6.25,3764636.2,3764636.2
10/9/2022,43.912552,45.2348,43.703776,45.095616,6.31,6.5,6.28,6.48,2462447.16,2462447.16
10/8/2022,44.051736,44.53888,43.564592,43.912552,6.33,6.4,6.26,6.31,1422016,1422016
10/7/2022,44.121328,44.53888,43.495,44.051736,6.34,6.4,6.25,6.33,2949396.86,2949396.86
10/6/2022,44.817248,45.373984,43.912552,44.121328,6.44,6.52,6.31,6.34,4214865.72,4214865.72
10/5/2022,45.2348,45.304392,43.634184,44.817248,6.5,6.51,6.27,6.44,4166685.22,4166685.22
10/4/2022,44.330104,45.513168,44.121328,45.2348,6.37,6.54,6.34,6.5,4072739.41,4072739.41
10/3/2022,42.868672,44.608472,42.381528,44.330104,6.16,6.41,6.09,6.37,4977131.51,4977131.51
10/2/2022,43.564592,44.051736,42.659896,42.79908,6.26,6.33,6.13,6.15,3801773.23,3801773.23
10/1/2022,44.051736,44.121328,43.216632,43.634184,6.33,6.34,6.21,6.27,3450155.56,3450155.56
9/30/2022,44.817248,45.791536,43.216632,43.982144,6.44,6.58,6.21,6.32,8082261.96,8082261.96
9/29/2022,44.469288,45.165208,43.564592,44.747656,6.39,6.49,6.26,6.43,5600368.3,5600368.3
9/28/2022,44.330104,45.026024,42.938264,44.399696,6.37,6.47,6.17,6.38,5452664.8,5452664.8
9/27/2022,45.58276,47.32256,43.425408,44.330104,6.55,6.8,6.24,6.37,7249174.06,7249174.06
9/26/2022,43.14704,45.791536,42.79908,45.652352,6.2,6.58,6.15,6.56,8553957.35,8553957.35
9/25/2022,43.634184,44.399696,42.311936,43.14704,6.27,6.38,6.08,6.2,3734926.28,3734926.28
9/24/2022,44.817248,45.304392,43.355816,43.634184,6.44,6.51,6.23,6.27,3955623.65,3955623.65
9/23/2022,44.88684,46.209088,43.077448,44.817248,6.45,6.64,6.19,6.44,9016451.68,9016451.68
9/22/2022,42.590304,45.443576,42.311936,44.88684,6.12,6.53,6.08,6.45,6063122.51,6063122.51
9/21/2022,43.703776,45.791536,41.546424,42.590304,6.28,6.58,5.97,6.12,9829632.502,9829632.502
9/20/2022,44.469288,44.678064,42.938264,43.703776,6.39,6.42,6.17,6.28,5497167.84,5497167.84
9/19/2022,44.88684,45.652352,42.45112,44.469288,6.45,6.56,6.1,6.39,9255864.1,9255864.1
9/18/2022,49.06236,49.131952,43.982144,44.817248,7.05,7.06,6.32,6.44,7888082.4,7888082.4
9/17/2022,48.088072,49.827872,48.01848,49.131952,6.91,7.16,6.9,7.06,3924016.97,3924016.97
9/16/2022,48.296848,48.575216,46.62664,48.01848,6.94,6.98,6.7,6.9,6058337.4,6058337.4
9/15/2022,50.10624,50.384608,47.809704,48.227256,7.2,7.24,6.87,6.93,7556924.27,7556924.27
9/14/2022,49.131952,50.871752,48.783992,50.175832,7.06,7.31,7.01,7.21,5914357.47,5914357.47
9/13/2022,53.377064,55.395232,48.923176,49.131952,7.67,7.96,7.03,7.06,9252301.09,9252301.09
9/12/2022,53.655432,56.02156,52.611552,53.307472,7.71,8.05,7.56,7.66,8935374.52,8935374.52
9/11/2022,54.072984,54.97768,52.472368,53.58584,7.77,7.9,7.54,7.7,4569653.61,4569653.61
9/10/2022,54.003392,54.838496,52.681144,54.072984,7.76,7.88,7.57,7.77,4854345.6,4854345.6
9/9/2022,51.428488,55.256048,51.219712,53.9338,7.39,7.94,7.36,7.75,9603978.87,9603978.87
9/8/2022,50.10624,51.84604,48.923176,51.428488,7.2,7.45,7.03,7.39,6134106.21,6134106.21
9/7/2022,47.879296,50.80216,46.9746,50.10624,6.88,7.3,6.75,7.2,5657008.11,5657008.11
9/6/2022,51.289304,53.58584,47.392152,47.809704,7.37,7.7,6.81,6.87,8014227.23,8014227.23
9/5/2022,51.358896,53.168288,50.523792,51.219712,7.38,7.64,7.26,7.36,5190975.86,5190975.86
9/4/2022,50.732568,51.637264,49.75828,51.289304,7.29,7.42,7.15,7.37,3798954.38,3798954.38
9/3/2022,50.80216,50.871752,49.897464,50.662976,7.3,7.31,7.17,7.28,2939572.83,2939572.83
9/2/2022,50.036648,52.681144,49.549504,50.80216,7.19,7.57,7.12,7.3,5870327.75,5870327.75
9/1/2022,48.923176,50.10624,47.740112,49.967056,7.03,7.2,6.86,7.18,4554476.61,4554476.61
8/31/2022,48.783992,50.732568,48.575216,48.923176,7.01,7.29,6.98,7.03,4314442.79,4314442.79
8/30/2022,50.593384,51.358896,47.879296,48.7144,7.27,7.38,6.88,7,5028135.43,5028135.43
8/29/2022,47.740112,50.871752,47.252968,50.593384,6.86,7.31,6.79,7.27,4881958.91,4881958.91
8/28/2022,49.06236,49.75828,47.392152,47.740112,7.05,7.15,6.81,6.86,2870607.63,2870607.63
8/27/2022,48.227256,49.549504,47.32256,48.992768,6.93,7.12,6.8,7.04,4334932.37,4334932.37
8/26/2022,52.750736,53.446656,47.740112,48.227256,7.58,7.68,6.86,6.93,6009344.97,6009344.97
8/25/2022,52.611552,54.003392,51.915632,52.750736,7.56,7.76,7.46,7.58,2939414.77,2939414.77
8/24/2022,53.168288,54.142576,51.567672,52.611552,7.64,7.78,7.41,7.56,3720336.76,3720336.76
8/23/2022,51.49808,53.725024,49.967056,53.168288,7.4,7.72,7.18,7.64,4831764.65,4831764.65
8/22/2022,51.706856,51.84604,48.7144,51.567672,7.43,7.45,7,7.41,4283982.1,4283982.1
8/21/2022,50.315016,52.402776,49.827872,51.776448,7.23,7.53,7.16,7.44,3047725.62,3047725.62
8/20/2022,50.80216,52.333184,48.923176,50.245424,7.3,7.52,7.03,7.22,4731587.73,4731587.73
8/19/2022,56.230336,56.36952,50.245424,50.871752,8.08,8.1,7.22,7.31,7862959.78,7862959.78
8/18/2022,58.248504,59.84912,55.6736,56.230336,8.37,8.6,8,8.08,4518903.95,4518903.95
