timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
12/9/2022,8894.05055,8968.597225,8845.070675,8903.916,1280.18,1290.91,1273.13,1281.6,58620.3521,58620.3521
12/8/2022,8553.62305,8980.19955,8489.914475,8894.05055,1231.18,1292.58,1222.01,1280.18,406653.5447,406653.5447
12/7/2022,8832.426225,8883.698775,8462.124475,8553.62305,1271.31,1278.69,1218.01,1231.18,398559.5166,398559.5166
12/6/2022,8749.750975,8856.3951,8625.7381,8832.4957,1259.41,1274.76,1241.56,1271.32,301631.839,301631.839
12/5/2022,8888.6315,9067.251725,8660.822975,8749.750975,1279.4,1305.11,1246.61,1259.41,391628.5166,391628.5166
12/4/2022,8618.37375,8942.752525,8615.59475,8888.700975,1240.5,1287.19,1240.1,1279.41,324129.5466,324129.5466
12/3/2022,9001.04205,9094.2775,8588.91635,8618.443225,1295.58,1309,1236.26,1240.51,347148.2588,347148.2588
12/2/2022,8867.789,9012.15805,8790.2549,9001.111525,1276.4,1297.18,1265.24,1295.59,371559.585,371559.585
12/1/2022,8993.26085,9031.05525,8773.094575,8867.858475,1294.46,1299.9,1262.77,1276.41,430018.7391,430018.7391
11/30/2022,8451.564275,9099.627075,8423.84375,8993.26085,1216.49,1309.77,1212.5,1294.46,815679.2717,815679.2717
11/29/2022,8113.082075,8534.100575,8047.080825,8451.564275,1167.77,1228.37,1158.27,1216.49,512143.5861,512143.5861
11/28/2022,8294.4813,8331.789375,7996.71145,8113.082075,1193.88,1199.25,1151.02,1167.77,478795.6093,478795.6093
11/27/2022,8375.975475,8499.085175,8258.145875,8294.4813,1205.61,1223.33,1188.65,1193.88,286386.7986,286386.7986
11/26/2022,8332.067275,8584.74785,8310.5995,8375.906,1199.29,1235.66,1196.2,1205.6,379840.8116,379840.8116
11/25/2022,8362.8447,8390.982075,8136.912,8332.13675,1203.72,1207.77,1171.2,1199.3,391430.1658,391430.1658
11/24/2022,8229.4527,8460.040225,8202.2185,8362.914175,1184.52,1217.71,1180.6,1203.73,486080.6123,486080.6123
11/23/2022,7917.301525,8267.525,7835.043125,8229.4527,1139.59,1190,1127.75,1184.52,636927.1594,636927.1594
11/22/2022,7693.24465,7962.738175,7468.5625,7917.371,1107.34,1146.13,1075,1139.6,748884.5791,748884.5791
11/21/2022,7935.503975,7968.713025,7501.6326,7693.24465,1142.21,1146.99,1079.76,1107.34,922647.9454,922647.9454
