timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
12/9/2022,544.626992,548.73292,540.03392,542.887192,78.26,78.85,77.6,78.01,128688.238,128688.238
12/8/2022,535.16248,548.037,518.4604,544.696584,76.9,78.75,74.5,78.27,911785.771,911785.771
12/7/2022,556.04008,559.51968,525.4196,535.092888,79.9,80.4,75.5,76.89,864677.814,864677.814
12/6/2022,558.058248,569.053784,540.521064,555.900896,80.19,81.77,77.67,79.88,802781.092,802781.092
12/5/2022,536.345544,591.532,534.605744,558.058248,77.07,85,76.82,80.19,1698312.839,1698312.839
12/4/2022,531.961248,539.407592,527.437768,536.345544,76.44,77.51,75.79,77.07,390998.288,390998.288
12/3/2022,542.330456,543.722296,525.002048,532.170024,77.93,78.13,75.44,76.47,432581.631,432581.631
12/2/2022,539.825144,543.443928,524.306128,542.400048,77.57,78.09,75.34,77.94,582041.35,582041.35
12/1/2022,550.82068,561.329072,530.778184,539.825144,79.15,80.66,76.27,77.57,968244.356,968244.356
11/30/2022,527.576952,562.860096,524.862864,550.890272,75.81,80.88,75.42,79.16,1108600.292,1108600.292
11/29/2022,514.702432,542.678416,510.80528,527.50736,73.96,77.98,73.4,75.8,1214848.559,1214848.559
11/28/2022,521.383264,524.306128,490.832376,514.772024,74.92,75.34,70.53,73.97,1474228.831,1474228.831
11/27/2022,532.239616,552.003744,516.02468,521.383264,76.48,79.32,74.15,74.92,994997.591,994997.591
11/26/2022,515.67672,554.30028,514.215288,532.170024,74.1,79.65,73.89,76.47,1274051.02,1274051.02
11/25/2022,547.549856,556.04008,508.926296,515.67672,78.68,79.9,73.13,74.1,1546973.408,1546973.408
11/24/2022,549.846392,553.395584,522.705512,547.410672,79.01,79.52,75.11,78.66,1698054.062,1698054.062
11/23/2022,491.66748,582.206672,484.429912,549.915984,70.65,83.66,69.61,79.02,3062621.766,3062621.766
11/22/2022,426.877328,496.330144,424.998344,491.737072,61.34,71.32,61.07,70.66,2212093.045,2212093.045
11/21/2022,432.305504,444.762472,412.3326,426.668552,62.12,63.91,59.25,61.31,1219683.801,1219683.801
11/20/2022,445.249616,451.373712,420.126904,432.305504,63.98,64.86,60.37,62.12,738121.307,738121.307
11/19/2022,435.854696,449.633912,426.807736,445.249616,62.63,64.61,61.33,63.98,585835.654,585835.654
11/18/2022,435.576328,445.3888,428.547536,435.785104,62.59,64,61.58,62.62,820500.727,820500.727
11/17/2022,400.084408,440.795728,396.743992,435.576328,57.49,63.34,57.01,62.59,1125276.943,1125276.943
11/16/2022,403.6336,418.874248,394.725824,400.084408,58,60.19,56.72,57.49,708710.343,708710.343
11/15/2022,394.58664,414.350768,393.055616,403.703192,56.7,59.54,56.48,58.01,785891.462,785891.462
11/14/2022,399.249304,412.750152,370.507808,394.58664,57.37,59.31,53.24,56.7,1455419.171,1455419.171
11/13/2022,417.273632,419.98772,391.315816,399.249304,59.96,60.35,56.23,57.37,585950.814,585950.814
11/12/2022,427.782024,429.7306,404.607888,417.134448,61.47,61.75,58.14,59.94,768579.231,768579.231
11/11/2022,421.449152,448.311664,407.182792,427.921208,60.56,64.42,58.51,61.49,1920110.08,1920110.08
11/10/2022,352.761848,426.807736,344.967544,421.449152,50.69,61.33,49.57,60.56,2070234.582,2070234.582
11/9/2022,402.172168,416.090568,331.25792,352.692256,57.79,59.79,47.6,50.68,2103687.619,2103687.619
11/8/2022,469.189264,479.349696,376.075168,402.380944,67.42,68.88,54.04,57.82,2190119.395,2190119.395
11/7/2022,475.034992,510.526912,460.768632,469.189264,68.26,73.36,66.21,67.42,1392881.038,1392881.038
11/6/2022,481.994192,494.659936,469.954776,475.034992,69.26,71.08,67.53,68.26,805404.064,805404.064
