timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
12/9/2022,6.45489012,6.48481253,6.41452966,6.42635945,0.9276,0.9319,0.9218,0.9235,6773510.4,6773510.4
12/8/2022,6.24404151,6.48202905,6.17515038,6.45489012,0.8973,0.9315,0.8874,0.9276,56439864.5,56439864.5
12/7/2022,6.38669486,6.40130813,6.05963596,6.24404151,0.9178,0.9199,0.8708,0.8973,73597178.6,73597178.6
12/6/2022,6.34424679,6.41035444,6.2210778,6.38530312,0.9117,0.9212,0.894,0.9176,50335479.4,50335479.4
12/5/2022,6.40965857,6.57736324,6.26143826,6.34355092,0.9211,0.9452,0.8998,0.9116,70042641.7,70042641.7
12/4/2022,6.28440197,6.42496771,6.27048457,6.41035444,0.9031,0.9233,0.9011,0.9212,32103473.7,32103473.7
12/3/2022,6.60032695,6.61215674,6.26074239,6.28301023,0.9485,0.9502,0.8997,0.9029,46360672.4,46360672.4
12/2/2022,6.32476243,6.6038063,6.24682499,6.60241456,0.9089,0.949,0.8977,0.9488,75021481.8,75021481.8
12/1/2022,6.4924671,6.57736324,6.30249459,6.32476243,0.933,0.9452,0.9057,0.9089,95499520.3,95499520.3
11/30/2022,5.83486995,6.57179628,5.8244319,6.4924671,0.8385,0.9444,0.837,0.933,105463856.6,105463856.6
11/29/2022,5.71448444,5.89332303,5.65951071,5.83417408,0.8212,0.8469,0.8133,0.8384,46886705.5,46886705.5
11/28/2022,5.87175106,5.90863217,5.59618654,5.71518031,0.8438,0.8491,0.8042,0.8213,67820385.3,67820385.3
11/27/2022,5.88984368,6.02762594,5.84948322,5.8731428,0.8464,0.8662,0.8406,0.844,40179484.6,40179484.6
11/26/2022,5.87453454,6.06659466,5.83486995,5.88984368,0.8442,0.8718,0.8385,0.8464,50094639.3,50094639.3
11/25/2022,5.90724043,5.91211152,5.70335052,5.87453454,0.8489,0.8496,0.8196,0.8442,51619516.3,51619516.3
11/24/2022,5.99422418,6.20298518,5.85992127,5.90724043,0.8614,0.8914,0.8421,0.8489,83489471.7,83489471.7
11/23/2022,5.92463718,6.07633684,5.81956081,5.99422418,0.8514,0.8732,0.8363,0.8614,110245680.9,110245680.9
11/22/2022,5.53982107,6.03180116,5.41665208,5.92394131,0.7961,0.8668,0.7784,0.8513,175588937.2,175588937.2
11/21/2022,5.61497503,5.7130927,5.3164468,5.5391252,0.8069,0.821,0.764,0.796,160051447.3,160051447.3
11/20/2022,6.09651707,6.13548579,5.5600013,5.61497503,0.8761,0.8817,0.799,0.8069,103107522.1,103107522.1
11/19/2022,6.12017665,6.14731558,5.91280739,6.09721294,0.8795,0.8834,0.8497,0.8762,48707549.2,48707549.2
11/18/2022,6.08399141,6.26074239,6.04154334,6.12017665,0.8743,0.8997,0.8682,0.8795,67124443.7,67124443.7
11/17/2022,6.24960847,6.34842201,6.00257462,6.08399141,0.8981,0.9123,0.8626,0.8743,101835293.2,101835293.2
11/16/2022,6.55370366,6.65599655,6.11530556,6.24960847,0.9418,0.9565,0.8788,0.8981,101978756,101978756
11/15/2022,6.38599899,6.77429445,6.30945329,6.55300779,0.9177,0.9735,0.9067,0.9417,138509381.4,138509381.4
11/14/2022,6.18906778,6.70192397,5.78824666,6.38599899,0.8894,0.9631,0.8318,0.9177,229867545.8,229867545.8
11/13/2022,6.53839452,6.74019682,6.01788376,6.18906778,0.9396,0.9686,0.8648,0.8894,123531551.9,123531551.9
11/12/2022,7.40753615,7.4318916,6.44584381,6.53839452,1.0645,1.068,0.9263,0.9396,168096609.6,168096609.6
11/11/2022,7.82505815,8.07765896,6.72419181,7.40614441,1.1245,1.1608,0.9663,1.0643,252229352.6,252229352.6
11/10/2022,5.68177855,8.08670527,5.56974348,7.82505815,0.8165,1.1621,0.8004,1.1245,439582528.4,439582528.4
11/9/2022,7.26627454,7.45137596,5.30531288,5.68177855,1.0442,1.0708,0.7624,0.8165,380019927.5,380019927.5
11/8/2022,8.74986938,8.8723425,6.26283,7.2648828,1.2574,1.275,0.9,1.044,429018153.6,429018153.6
11/7/2022,7.89673276,8.9836817,7.85706817,8.74986938,1.1348,1.291,1.1291,1.2574,240665299.2,240665299.2
11/6/2022,8.24536363,8.4548205,7.88142362,7.8981245,1.1849,1.215,1.1326,1.135,108660119.2,108660119.2
11/5/2022,8.13541617,9.09571677,8.02407697,8.24327602,1.1691,1.3071,1.1531,1.1846,189393717.4,189393717.4
11/4/2022,6.61911544,8.3434813,6.61424435,8.13611204,0.9512,1.199,0.9505,1.1692,300277375.5,300277375.5
11/3/2022,6.07703271,6.84944841,6.04293508,6.61911544,0.8733,0.9843,0.8684,0.9512,174644970.2,174644970.2
11/2/2022,6.08120793,6.20368105,5.8244319,6.07772858,0.8739,0.8915,0.837,0.8734,110965532.1,110965532.1
11/1/2022,6.28092262,6.32824178,6.07076988,6.08120793,0.9026,0.9094,0.8724,0.8739,47627967.5,47627967.5
10/31/2022,6.32128308,6.47019926,6.21481497,6.28092262,0.9084,0.9298,0.8931,0.9026,59360219.5,59360219.5
10/30/2022,6.49594645,6.60241456,6.25308782,6.32128308,0.9335,0.9488,0.8986,0.9084,64416028,64416028
10/29/2022,6.57110041,6.67548091,6.44166859,6.49664232,0.9443,0.9593,0.9257,0.9336,65433748.5,65433748.5
10/28/2022,6.28788132,6.58919303,6.22246954,6.57179628,0.9036,0.9469,0.8942,0.9444,69963617.8,69963617.8
10/27/2022,6.52169364,6.5968476,6.21829432,6.28788132,0.9372,0.948,0.8936,0.9036,97730707.3,97730707.3
10/26/2022,6.38530312,6.7360216,6.38530312,6.52238951,0.9176,0.968,0.9176,0.9373,104834000.1,104834000.1
10/25/2022,6.21551084,6.60171869,6.08677489,6.38530312,0.8932,0.9487,0.8747,0.9176,98785228.7,98785228.7
10/24/2022,6.25308782,6.32406656,6.06729053,6.21481497,0.8986,0.9088,0.8719,0.8931,92087558.5,92087558.5
10/23/2022,5.78894253,6.29553589,5.70891748,6.25308782,0.8319,0.9047,0.8204,0.8986,69369080,69369080
10/22/2022,5.79033427,5.85017909,5.65533549,5.78894253,0.8321,0.8407,0.8127,0.8319,37710089,37710089
10/21/2022,5.63237178,5.80077232,5.39090489,5.7896384,0.8094,0.8336,0.7747,0.832,74134213.3,74134213.3
10/20/2022,5.87662215,5.90306521,5.60453698,5.63237178,0.8445,0.8483,0.8054,0.8094,71430587,71430587
10/19/2022,6.0123168,6.13200644,5.84391626,5.87662215,0.864,0.8812,0.8398,0.8445,69116601.3,69116601.3
10/18/2022,5.90306521,6.13339818,5.81538559,6.01370854,0.8483,0.8814,0.8357,0.8642,98636927.7,98636927.7
10/17/2022,5.55513021,5.914895,5.53773346,5.90236934,0.7983,0.85,0.7958,0.8482,49566523.7,49566523.7
10/16/2022,5.49180604,5.63585113,5.48415147,5.55582608,0.7892,0.8099,0.7881,0.7984,21642765.8,21642765.8
10/15/2022,5.52033671,5.636547,5.46884233,5.49180604,0.7933,0.81,0.7859,0.7892,27921576.1,27921576.1
