timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
12/9/2022,1027.17792,1030.65752,1018.13096,1022.30648,147.6,148.1,146.3,146.9,6452.766,6452.766
12/8/2022,1001.42888,1035.52896,994.46968,1027.17792,143.9,148.8,142.9,147.6,78557.407,78557.407
12/7/2022,997.94928,1004.90848,981.94312,1001.42888,143.4,144.4,141.1,143.9,63295.147,63295.147
12/6/2022,1009.084,1016.73912,987.51048,997.94928,145,146.1,141.9,143.4,79056.83,79056.83
12/5/2022,989.59824,1016.0432,984.03088,1009.77992,142.2,146,141.4,145.1,87300.352,87300.352
12/4/2022,1010.47584,1026.482,988.90232,989.59824,145.2,147.5,142.1,142.2,98878.698,98878.698
12/3/2022,1012.5636,1043.88,996.55744,1011.17176,145.5,150,143.2,145.3,93645.176,93645.176
12/2/2022,1004.90848,1020.21872,994.46968,1013.25952,144.4,146.6,142.9,145.6,72557.223,72557.223
12/1/2022,989.59824,1009.084,982.63904,1004.90848,142.2,145,141.2,144.4,105405.069,105405.069
11/30/2022,955.49816,995.86152,955.49816,989.59824,137.3,143.1,137.3,142.2,93507.342,93507.342
11/29/2022,938.10016,1020.21872,933.22872,956.19408,134.8,146.6,134.1,137.4,106219.11,106219.11
11/28/2022,948.53896,954.80224,924.18176,938.79608,136.3,137.2,132.8,134.9,56402.054,56402.054
11/27/2022,965.93696,972.89616,947.14712,949.9308,138.8,139.8,136.1,136.5,50306.421,50306.421
11/26/2022,949.23488,971.50432,942.9716,965.93696,136.4,139.6,135.5,138.8,62622.367,62622.367
11/25/2022,951.32264,962.45736,930.44504,948.53896,136.7,138.3,133.7,136.3,76140.487,76140.487
11/24/2022,940.18792,956.89,926.26952,951.32264,135.1,137.5,133.1,136.7,89906.268,89906.268
11/23/2022,933.22872,953.4104,925.5736,940.18792,134.1,137,133,135.1,117682.29,117682.29
11/22/2022,877.55512,933.92464,871.29184,933.22872,126.1,134.2,125.2,134.1,89326.408,89326.408
11/21/2022,902.60824,963.15328,876.16328,877.55512,129.7,138.4,125.9,126.1,176951.617,176951.617
11/20/2022,935.31648,938.79608,895.64904,902.60824,134.4,134.9,128.7,129.7,60791.011,60791.011
11/19/2022,926.96544,937.40424,917.91848,935.31648,133.2,134.7,131.9,134.4,54075.572,54075.572
11/18/2022,926.96544,938.79608,910.95928,927.66136,133.2,134.9,130.9,133.3,66340.256,66340.256
11/17/2022,919.31032,928.35728,904.00008,926.96544,132.1,133.4,129.9,133.2,78844.192,78844.192
11/16/2022,898.43272,924.18176,881.73064,919.31032,129.1,132.8,126.7,132.1,69366.932,69366.932
11/15/2022,903.30416,924.18176,887.99392,898.43272,129.8,132.8,127.6,129.1,65122.11,65122.11
11/14/2022,884.51432,910.26336,847.63056,903.30416,127.1,130.8,121.8,129.8,85377.975,85377.975
11/13/2022,894.95312,915.83072,878.94696,885.21024,128.6,131.6,126.3,127.2,67299.851,67299.851
11/12/2022,894.2572,908.87152,868.50816,894.2572,128.5,130.6,124.8,128.5,50037.192,50037.192
11/11/2022,927.66136,938.79608,849.71832,893.56128,133.3,134.9,122.1,128.4,112657.145,112657.145
11/10/2022,829.53664,939.492,819.09784,927.66136,119.2,135,117.7,133.3,115669.893,115669.893
11/9/2022,963.8492,1004.90848,802.39576,828.84072,138.5,144.4,115.3,119.1,117949.248,117949.248
11/8/2022,1080.06784,1093.98624,883.8184,961.76144,155.2,157.2,127,138.2,117847.881,117847.881
11/7/2022,1077.98008,1109.9924,1017.43504,1080.06784,154.9,159.5,146.2,155.2,65130.94,65130.94
11/6/2022,1094.68216,1116.9516,1073.80456,1077.98008,157.3,160.5,154.3,154.9,49411.903,49411.903
11/5/2022,1103.72912,1128.08632,1057.7984,1094.68216,158.6,162.1,152,157.3,74511.508,74511.508
11/4/2022,1038.31264,1104.42504,1035.52896,1103.72912,149.2,158.7,148.8,158.6,58000.08,58000.08
11/3/2022,1022.30648,1046.66368,1019.5228,1039.70448,146.9,150.4,146.5,149.4,44521.449,44521.449
11/2/2022,1041.79224,1078.676,1007.69216,1022.30648,149.7,155,144.8,146.9,74728.034,74728.034
11/1/2022,1041.09632,1052.92696,1032.04936,1041.79224,149.6,151.3,148.3,149.7,55520.569,55520.569
10/31/2022,1026.482,1049.44736,1016.0432,1041.09632,147.5,150.8,146,149.6,67036.059,67036.059
10/30/2022,1036.22488,1048.75144,1014.65136,1026.482,148.9,150.7,145.8,147.5,42468.841,42468.841
10/29/2022,1021.61056,1039.70448,1014.65136,1036.9208,146.8,149.4,145.8,149,49535.956,49535.956
10/28/2022,1013.95544,1032.04936,1000.03704,1021.61056,145.7,148.3,143.7,146.8,72175.444,72175.444
10/27/2022,1022.30648,1043.88,1009.084,1014.65136,146.9,150,145,145.8,75145.31,75145.31
10/26/2022,1001.42888,1030.65752,1000.03704,1022.30648,143.9,148.1,143.7,146.9,61247.678,61247.678
10/25/2022,996.55744,1019.5228,993.77376,1000.73296,143.2,146.5,142.8,143.8,63480.016,63480.016
10/24/2022,1006.30032,1007.69216,983.33496,996.55744,144.6,144.8,141.3,143.2,56413.049,56413.049
10/23/2022,993.07784,1009.084,988.2064,1006.30032,142.7,145,142,144.6,52741.392,52741.392
10/22/2022,979.15944,995.86152,971.50432,993.77376,140.7,143.1,139.6,142.8,41036.406,41036.406
10/21/2022,981.94312,997.94928,953.4104,979.15944,141.1,143.4,137,140.7,55317.694,55317.694
10/20/2022,1009.084,1034.13712,974.288,981.94312,145,148.6,140,141.1,75181.331,75181.331
10/19/2022,1016.73912,1034.83304,1004.90848,1009.084,146.1,148.7,144.4,145,63379.239,63379.239
10/18/2022,1000.03704,1031.35344,991.686,1016.73912,143.7,148.2,142.5,146.1,112703.765,112703.765
10/17/2022,996.55744,1009.77992,990.29416,1000.03704,143.2,145.1,142.3,143.7,56387.911,56387.911
10/16/2022,971.50432,998.6452,971.50432,995.86152,139.6,143.5,139.6,143.1,35205.561,35205.561
10/15/2022,979.15944,988.2064,968.02472,970.8084,140.7,142,139.1,139.5,56583.155,56583.155
10/14/2022,994.46968,1016.0432,972.20024,978.46352,142.9,146,139.7,140.6,53063.037,53063.037
10/13/2022,1006.99624,1011.86768,936.70832,994.46968,144.7,145.4,134.6,142.9,100771.292,100771.292
10/12/2022,1008.38808,1021.61056,991.686,1007.69216,144.9,146.8,142.5,144.8,59069.524,59069.524
10/11/2022,990.29416,1011.17176,974.288,1007.69216,142.3,145.3,140,144.8,66384.915,66384.915
10/10/2022,1013.25952,1029.26568,986.11864,989.59824,145.6,147.9,141.7,142.2,55775.456,55775.456
