timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
12/9/2022,2.74331664,2.75027584,2.71130432,2.72591864,0.3942,0.3952,0.3896,0.3917,40922607,40922607
12/8/2022,2.66815728,2.75723504,2.66258992,2.74262072,0.3834,0.3962,0.3826,0.3941,276255107,276255107
12/7/2022,2.72383088,2.731486,2.59786936,2.6688532,0.3914,0.3925,0.3733,0.3835,307733325,307733325
12/6/2022,2.70921656,2.731486,2.65006336,2.72383088,0.3893,0.3925,0.3808,0.3914,302191639,302191639
12/5/2022,2.7106084,2.75166768,2.644496,2.70921656,0.3895,0.3954,0.38,0.3893,338205071,338205071
12/4/2022,2.69529816,2.73635744,2.6862512,2.7106084,0.3873,0.3932,0.386,0.3895,134434499,134434499
12/3/2022,2.75653912,2.76489016,2.68137976,2.69529816,0.3961,0.3973,0.3853,0.3873,152919238,152919238
12/2/2022,2.76141056,2.766282,2.67094096,2.75653912,0.3968,0.3975,0.3838,0.3961,257877078,257877078
12/1/2022,2.83796176,2.84840056,2.74470848,2.76210648,0.4078,0.4093,0.3944,0.3969,251203503,251203503
11/30/2022,2.77045752,2.86510264,2.73218192,2.83796176,0.3981,0.4117,0.3926,0.4078,329757224,329757224
11/29/2022,2.70573696,2.81082088,2.66467768,2.77045752,0.3888,0.4039,0.3829,0.3981,355638077,355638077
11/28/2022,2.75653912,2.77741672,2.5957816,2.70573696,0.3961,0.3991,0.373,0.3888,434930297,434930297
11/27/2022,2.7558432,2.85048832,2.74331664,2.75723504,0.396,0.4096,0.3942,0.3962,199432182,199432182
11/26/2022,2.83726584,2.88528432,2.73287784,2.7558432,0.4077,0.4146,0.3927,0.396,184581391,184581391
11/25/2022,2.79620656,2.91868848,2.70573696,2.83796176,0.4018,0.4194,0.3888,0.4078,428503257,428503257
11/24/2022,2.65563072,2.818476,2.60413264,2.79620656,0.3816,0.405,0.3742,0.4018,454087891,454087891
11/23/2022,2.61526736,2.66119808,2.56237744,2.6549348,0.3758,0.3824,0.3682,0.3815,354058802,354058802
11/22/2022,2.5366284,2.63336128,2.44476696,2.61457144,0.3645,0.3784,0.3513,0.3757,464705247,464705247
11/21/2022,2.51087936,2.5679448,2.40579544,2.5366284,0.3608,0.369,0.3457,0.3645,591706474,591706474
11/20/2022,2.67372464,2.76210648,2.4948732,2.51087936,0.3842,0.3969,0.3585,0.3608,308373842,308373842
11/19/2022,2.66467768,2.70434512,2.61109184,2.67302872,0.3829,0.3886,0.3752,0.3841,145313373,145313373
11/18/2022,2.65771848,2.69877776,2.59786936,2.66467768,0.3819,0.3878,0.3733,0.3829,292591109,292591109
11/17/2022,2.61039592,2.69529816,2.56864072,2.65771848,0.3751,0.3873,0.3691,0.3819,413772413,413772413
11/16/2022,2.70504104,2.7245268,2.51505488,2.61109184,0.3887,0.3915,0.3614,0.3752,363276410,363276410
11/15/2022,2.627098,2.76767384,2.55263456,2.70573696,0.3775,0.3977,0.3668,0.3888,541305225,541305225
11/14/2022,2.37239128,2.64171232,2.2339032,2.62779392,0.3409,0.3796,0.321,0.3776,693547037,693547037
11/13/2022,2.5296692,2.57072848,2.313934,2.37169536,0.3635,0.3694,0.3325,0.3408,334510449,334510449
11/12/2022,2.67442056,2.67650832,2.49974464,2.53036512,0.3843,0.3846,0.3592,0.3636,254821436,254821436
11/11/2022,2.74331664,2.77741672,2.54776312,2.67442056,0.3942,0.3991,0.3661,0.3843,477945830,477945830
11/10/2022,2.31880544,2.8045576,2.29723192,2.74331664,0.3332,0.403,0.3301,0.3942,815070852,815070852
11/9/2022,2.82473928,2.8602312,2.1991072,2.31810952,0.4059,0.411,0.316,0.3331,908074197,908074197
11/8/2022,3.23394024,3.24925048,2.3348116,2.82473928,0.4647,0.4669,0.3355,0.4059,978082649,978082649
11/7/2022,3.27639136,3.340416,3.1907932,3.23463616,0.4708,0.48,0.4585,0.4648,325333918,325333918
11/6/2022,3.4308856,3.44271624,3.2569056,3.27708728,0.493,0.4947,0.468,0.4709,163125807,163125807
11/5/2022,3.52344296,3.549192,3.4030488,3.4308856,0.5063,0.51,0.489,0.493,199360700,199360700
11/4/2022,3.16504416,3.53388176,3.15390944,3.52413888,0.4548,0.5078,0.4532,0.5064,561979429,561979429
11/3/2022,3.13024816,3.19984016,3.12259304,3.16504416,0.4498,0.4598,0.4487,0.4548,221405589,221405589
11/2/2022,3.2255892,3.24229128,3.09753992,3.12955224,0.4635,0.4659,0.4451,0.4497,305327596,305327596
11/1/2022,3.2290688,3.2499464,3.16156456,3.22628512,0.464,0.467,0.4543,0.4636,272552886,272552886
10/31/2022,3.18870544,3.25273008,3.11493792,3.22976472,0.4582,0.4674,0.4476,0.4641,291632134,291632134
10/30/2022,3.27221584,3.2951812,3.15738904,3.18870544,0.4702,0.4735,0.4537,0.4582,182831402,182831402
10/29/2022,3.30074856,3.36616504,3.24089944,3.27151992,0.4743,0.4837,0.4657,0.4701,284375501,284375501
10/28/2022,3.2116708,3.3090996,3.17617888,3.30144448,0.4615,0.4755,0.4564,0.4744,258511622,258511622
10/27/2022,3.26316888,3.35711808,3.19009728,3.2116708,0.4689,0.4824,0.4584,0.4615,386147200,386147200
10/26/2022,3.20540752,3.2812628,3.17478704,3.26316888,0.4606,0.4715,0.4562,0.4689,308800077,308800077
10/25/2022,3.1525176,3.29030976,3.08570928,3.2047116,0.453,0.4728,0.4434,0.4605,350361399,350361399
10/24/2022,3.26247296,3.2917016,3.11632976,3.15182168,0.4688,0.473,0.4478,0.4529,269189993,269189993
10/23/2022,3.23811576,3.28891792,3.14416656,3.26247296,0.4653,0.4726,0.4518,0.4688,201619037,201619037
10/22/2022,3.21027896,3.27639136,3.17409112,3.23811576,0.4613,0.4708,0.4561,0.4653,168922503,168922503
10/21/2022,3.1072828,3.21306264,3.01750912,3.21097488,0.4465,0.4617,0.4336,0.4614,362000551,362000551
10/20/2022,3.13442368,3.23324432,2.93956608,3.1072828,0.4504,0.4646,0.4224,0.4465,396744045,396744045
10/19/2022,3.24089944,3.24785864,3.11145832,3.13442368,0.4657,0.4667,0.4471,0.4504,330327507,330327507
10/18/2022,3.34319968,3.37034056,3.18105032,3.24159536,0.4804,0.4843,0.4571,0.4658,289689721,289689721
10/17/2022,3.3160588,3.357814,3.22002184,3.34319968,0.4765,0.4825,0.4627,0.4804,266511552,266511552
10/16/2022,3.35294256,3.39330592,3.2569056,3.31675472,0.4818,0.4876,0.468,0.4766,220894101,220894101
10/15/2022,3.39748144,3.410008,3.32232208,3.35294256,0.4882,0.49,0.4774,0.4818,155163123,155163123
10/14/2022,3.33415272,3.56659,3.32788944,3.39817736,0.4791,0.5125,0.4782,0.4883,457259209,457259209
10/13/2022,3.39678552,3.40861616,3.06274392,3.33415272,0.4881,0.4898,0.4401,0.4791,601751609,601751609
10/12/2022,3.3821712,3.4517632,3.3543344,3.39678552,0.486,0.496,0.482,0.4881,245221984,245221984
10/11/2022,3.43714888,3.496998,3.31814656,3.38286712,0.4939,0.5025,0.4768,0.4861,445279743,445279743
10/10/2022,3.705774,3.7440496,3.42879784,3.43714888,0.5325,0.538,0.4927,0.4939,519737735,519737735
10/9/2022,3.59860232,3.8206008,3.5213552,3.705774,0.5171,0.549,0.506,0.5325,366379188,366379188
10/8/2022,3.60277784,3.68280864,3.55684712,3.5979064,0.5177,0.5292,0.5111,0.517,340783746,340783746
10/7/2022,3.43366928,3.71551688,3.340416,3.60277784,0.4934,0.5339,0.48,0.5177,523500800,523500800
10/6/2022,3.40165696,3.52344296,3.39817736,3.43366928,0.4888,0.5063,0.4883,0.4934,412623504,412623504
10/5/2022,3.3369364,3.4935184,3.28195872,3.40096104,0.4795,0.502,0.4716,0.4887,582675616,582675616
10/4/2022,3.21654224,3.38077936,3.1420788,3.3369364,0.4622,0.4858,0.4515,0.4795,528294804,528294804
10/3/2022,3.1212012,3.26664848,3.04256224,3.21584632,0.4485,0.4694,0.4372,0.4621,393625435,393625435
10/2/2022,3.30770776,3.3299772,3.0829256,3.1212012,0.4753,0.4785,0.443,0.4485,331325448,331325448
10/1/2022,3.33972008,3.3856508,3.24785864,3.30840368,0.4799,0.4865,0.4667,0.4754,332745201,332745201
9/30/2022,3.39330592,3.47403264,3.24785864,3.33972008,0.4876,0.4992,0.4667,0.4799,683028303,683028303
9/29/2022,3.12537672,3.55545528,2.96879472,3.39400184,0.4491,0.5109,0.4266,0.4877,788666701,788666701
9/28/2022,3.10241136,3.17200336,2.90059456,3.12398488,0.4458,0.4558,0.4168,0.4489,595920283,595920283
9/27/2022,3.25829744,3.39748144,3.027252,3.10171544,0.4682,0.4882,0.435,0.4457,628394011,628394011
9/26/2022,3.42114272,3.4935184,3.18452992,3.25899336,0.4916,0.502,0.4576,0.4683,626520230,626520230
9/25/2022,3.39539368,3.6292228,3.31049144,3.42183864,0.4879,0.5215,0.4757,0.4917,738162563,738162563
9/24/2022,3.52761848,3.6153044,3.28265464,3.39469776,0.5069,0.5195,0.4717,0.4878,711158721,711158721
9/23/2022,3.38286712,3.8901928,3.17617888,3.52761848,0.4861,0.559,0.4564,0.5069,1820625745,1820625745
9/22/2022,2.73914112,3.4796,2.73705336,3.38356304,0.3936,0.5,0.3933,0.4862,1322834928,1322834928
9/21/2022,2.88041288,3.0202928,2.644496,2.73914112,0.4139,0.434,0.38,0.3936,925735817,925735817
9/20/2022,2.67720424,2.95209264,2.57768768,2.8811088,0.3847,0.4242,0.3704,0.414,1113792429,1113792429
9/19/2022,2.49000176,2.73635744,2.36682392,2.67790016,0.3578,0.3932,0.3401,0.3848,737172977,737172977
9/18/2022,2.61805104,2.77045752,2.47469152,2.48860992,0.3762,0.3981,0.3556,0.3576,680858418,680858418
9/17/2022,2.47190784,2.6514552,2.41066688,2.61805104,0.3552,0.381,0.3464,0.3762,443007880,443007880
9/16/2022,2.26939512,2.49208952,2.23807872,2.47190784,0.3261,0.3581,0.3216,0.3552,370003740,370003740
9/15/2022,2.3765668,2.38630968,2.25547672,2.26939512,0.3415,0.3429,0.3241,0.3261,406236125,406236125
9/14/2022,2.31462992,2.39535664,2.30488704,2.3765668,0.3326,0.3442,0.3312,0.3415,308604961,308604961
9/13/2022,2.50392016,2.50739976,2.30210336,2.31462992,0.3598,0.3603,0.3308,0.3326,364278378,364278378
9/12/2022,2.47121192,2.50670384,2.42040976,2.50392016,0.3551,0.3602,0.3478,0.3598,243143764,243143764
9/11/2022,2.48721808,2.50809568,2.4252812,2.47190784,0.3574,0.3604,0.3485,0.3552,146159090,146159090
9/10/2022,2.48304256,2.52062224,2.44546288,2.48652216,0.3568,0.3622,0.3514,0.3573,186010258,186010258
9/9/2022,2.36334432,2.50322424,2.36195248,2.48304256,0.3396,0.3597,0.3394,0.3568,334849027,334849027
9/8/2022,2.34455448,2.38978928,2.28400944,2.36334432,0.3369,0.3434,0.3282,0.3396,234589959,234589959
9/7/2022,2.23529504,2.35638512,2.1712704,2.34455448,0.3212,0.3386,0.312,0.3369,267709589,267709589
9/6/2022,2.31671768,2.38770152,2.19493168,2.23529504,0.3329,0.3431,0.3154,0.3212,337153895,337153895
9/5/2022,2.30906256,2.32298096,2.244342,2.31671768,0.3318,0.3338,0.3225,0.3329,178320876,178320876
9/4/2022,2.29375232,2.31602176,2.279138,2.30836664,0.3296,0.3328,0.3275,0.3317,95913393,95913393
9/3/2022,2.3069748,2.331332,2.2721788,2.29444824,0.3315,0.335,0.3265,0.3297,103317904,103317904
9/2/2022,2.31880544,2.3348116,2.26382776,2.30627888,0.3332,0.3355,0.3253,0.3314,179601436,179601436
9/1/2022,2.27983392,2.32019728,2.2373828,2.31810952,0.3276,0.3334,0.3215,0.3331,183564987,183564987
8/31/2022,2.27426656,2.32367688,2.2478216,2.28052984,0.3268,0.3339,0.323,0.3277,195043842,195043842
8/30/2022,2.32228504,2.33759528,2.226944,2.27357064,0.3337,0.3359,0.32,0.3267,213879108,213879108
8/29/2022,2.24295016,2.32576464,2.21720112,2.32228504,0.3223,0.3342,0.3186,0.3337,268856257,268856257
8/28/2022,2.32854832,2.34733816,2.23599096,2.24364608,0.3346,0.3373,0.3213,0.3224,148984590,148984590
8/27/2022,2.36125656,2.39883624,2.28470536,2.32854832,0.3393,0.3447,0.3283,0.3346,175871454,175871454
8/26/2022,2.42945672,2.58325504,2.313934,2.36125656,0.3491,0.3712,0.3325,0.3393,439211758,439211758
8/25/2022,2.40509952,2.45103024,2.3904852,2.42945672,0.3456,0.3522,0.3435,0.3491,200831070,200831070
8/24/2022,2.41693016,2.453118,2.35847288,2.40509952,0.3473,0.3525,0.3389,0.3456,190760736,190760736
8/23/2022,2.3939648,2.4218016,2.31462992,2.41623424,0.344,0.348,0.3326,0.3472,224844843,224844843
8/22/2022,2.39953216,2.40301176,2.30558296,2.3939648,0.3448,0.3453,0.3313,0.344,259125051,259125051
8/21/2022,2.34385856,2.4252812,2.3348116,2.40022808,0.3368,0.3485,0.3355,0.3449,185595697,185595697
8/20/2022,2.3278524,2.38561376,2.31115032,2.34385856,0.3345,0.3428,0.3321,0.3368,206218319,206218319
8/19/2022,2.57699176,2.57977544,2.30279928,2.32715648,0.3703,0.3707,0.3309,0.3344,437831008,437831008
8/18/2022,2.64171232,2.6549348,2.56864072,2.57768768,0.3796,0.3815,0.3691,0.3704,206448429,206448429
8/17/2022,2.6236184,2.73009416,2.5609856,2.6410164,0.377,0.3923,0.368,0.3795,333525617,333525617
8/16/2022,2.6097,2.63336128,2.55124272,2.6236184,0.375,0.3784,0.3666,0.377,196904975,196904975
8/15/2022,2.61387552,2.68068384,2.54567536,2.61039592,0.3756,0.3852,0.3658,0.3751,231352894,231352894
8/14/2022,2.62988168,2.72939824,2.60134896,2.61457144,0.3779,0.3922,0.3738,0.3757,184744299,184744299
8/13/2022,2.64240824,2.69738592,2.61874696,2.6305776,0.3797,0.3876,0.3763,0.378,122728952,122728952
8/12/2022,2.64519192,2.64867152,2.57420808,2.64171232,0.3801,0.3806,0.3699,0.3796,169377982,169377982
8/11/2022,2.65423888,2.6862512,2.6236184,2.64588784,0.3814,0.386,0.377,0.3802,212303676,212303676
8/10/2022,2.55541824,2.6549348,2.49348136,2.65423888,0.3672,0.3815,0.3583,0.3814,218617309,218617309
8/9/2022,2.63544904,2.64519192,2.50948752,2.55541824,0.3787,0.3801,0.3606,0.3672,168358813,168358813
8/8/2022,2.59091016,2.67720424,2.5818632,2.63544904,0.3723,0.3847,0.371,0.3787,221476216,221476216
